INFO 2023-11-12 00:38:21,452 autoreload 5288 13152 Watching for file changes with StatReloader
INFO 2023-11-12 00:41:38,445 autoreload 8768 3204 Watching for file changes with StatReloader
INFO 2023-11-12 00:41:40,031 basehttp 8768 11020 "GET / HTTP/1.1" 200 123
WARNING 2023-11-12 00:41:40,166 log 8768 11020 Not Found: /favicon.ico
WARNING 2023-11-12 00:41:40,167 basehttp 8768 11020 "GET /favicon.ico HTTP/1.1" 404 2532
WARNING 2023-11-12 00:47:11,315 log 8768 1980 Not Found: /favicon.ico
WARNING 2023-11-12 00:47:11,316 basehttp 8768 1980 "GET /favicon.ico HTTP/1.1" 404 2532
INFO 2023-11-12 01:02:48,485 autoreload 8768 3204 F:\projects_1\learningdjango\postapp\models.py changed, reloading.
INFO 2023-11-12 01:02:48,869 autoreload 12436 4616 Watching for file changes with StatReloader
INFO 2023-11-12 01:04:55,429 autoreload 12436 4616 F:\projects_1\learningdjango\postapp\models.py changed, reloading.
INFO 2023-11-12 01:04:55,842 autoreload 8424 2460 Watching for file changes with StatReloader
INFO 2023-11-12 01:14:07,270 autoreload 8424 2460 F:\projects_1\learningdjango\postapp\models.py changed, reloading.
INFO 2023-11-12 01:14:07,633 autoreload 3204 3836 Watching for file changes with StatReloader
INFO 2023-11-12 02:17:50,815 autoreload 10508 14216 Watching for file changes with StatReloader
INFO 2023-11-12 02:17:52,631 basehttp 10508 1232 "GET / HTTP/1.1" 200 123
INFO 2023-11-12 02:17:59,345 basehttp 10508 1232 "GET /admin/ HTTP/1.1" 302 0
INFO 2023-11-12 02:17:59,421 basehttp 10508 1232 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4267
INFO 2023-11-12 02:17:59,539 basehttp 10508 5668 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2023-11-12 02:17:59,542 basehttp 10508 5668 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2023-11-12 02:17:59,549 basehttp 10508 11676 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2023-11-12 02:17:59,549 basehttp 10508 3048 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2023-11-12 02:17:59,549 basehttp 10508 1232 "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2023-11-12 02:17:59,549 basehttp 10508 14280 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2023-11-12 02:17:59,551 basehttp 10508 11272 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2023-11-12 02:18:02,202 basehttp 10508 14280 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2023-11-12 02:18:02,252 basehttp 10508 14280 "GET /admin/ HTTP/1.1" 200 6530
INFO 2023-11-12 02:18:02,267 basehttp 10508 14280 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2023-11-12 02:18:02,277 basehttp 10508 11272 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2023-11-12 02:18:02,277 basehttp 10508 14280 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2023-11-12 02:18:05,273 basehttp 10508 14280 "GET /admin/auth/user/ HTTP/1.1" 200 11830
INFO 2023-11-12 02:18:05,290 basehttp 10508 14280 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
INFO 2023-11-12 02:18:05,298 basehttp 10508 3048 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2023-11-12 02:18:05,299 basehttp 10508 5668 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2023-11-12 02:18:05,301 basehttp 10508 11676 "GET /static/admin/js/core.js HTTP/1.1" 200 5682
INFO 2023-11-12 02:18:05,301 basehttp 10508 1232 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2023-11-12 02:18:05,307 basehttp 10508 3048 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2023-11-12 02:18:05,308 basehttp 10508 5668 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2023-11-12 02:18:05,308 basehttp 10508 11676 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2023-11-12 02:18:05,309 basehttp 10508 1232 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2023-11-12 02:18:05,311 basehttp 10508 11272 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
INFO 2023-11-12 02:18:05,327 basehttp 10508 14280 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
INFO 2023-11-12 02:18:05,333 basehttp 10508 14280 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2023-11-12 02:18:05,339 basehttp 10508 3048 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2023-11-12 02:18:05,354 basehttp 10508 3048 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2023-11-12 02:18:05,354 basehttp 10508 14280 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2023-11-12 02:18:08,250 basehttp 10508 14280 "GET /admin/postapp/post/ HTTP/1.1" 200 10267
INFO 2023-11-12 02:18:08,269 basehttp 10508 14280 "GET /admin/jsi18n/ HTTP/1.1" 200 16066
